Time,NO [µg/m³]
01/01/2023,0.1
02/01/2023,0.1
03/01/2023,0.2
04/01/2023,0.5
05/01/2023,0.8
06/01/2023,0.5
07/01/2023,0.4
08/01/2023,0.7
09/01/2023,0.4
10/01/2023,1.1
11/01/2023,0.8
12/01/2023,0.5
13/01/2023,0.4
14/01/2023,0.1
15/01/2023,0.7
16/01/2023,1.3
17/01/2023,0.9
18/01/2023,0.8
19/01/2023,0.6
20/01/2023,0.3
21/01/2023,0.4
22/01/2023,1
23/01/2023,1.1
24/01/2023,1
25/01/2023,0.9
26/01/2023,0.9
27/01/2023,0.2
28/01/2023,0.1
29/01/2023,1.5
30/01/2023,0.5
31/01/2023,0.6
01/02/2023,0.3
02/02/2023,0.5
03/02/2023,1
04/02/2023,0
05/02/2023,0.5
06/02/2023,0.3
07/02/2023,0.4
08/02/2023,0.2
09/02/2023,0.5
10/02/2023,0.1
11/02/2023,0.1
12/02/2023,0.5
13/02/2023,0.6
14/02/2023,0.3
15/02/2023,0.7
16/02/2023,0.5
17/02/2023,0.5
18/02/2023,0.3
19/02/2023,2
20/02/2023,1.1
21/02/2023,0.5
22/02/2023,0.9
23/02/2023,0.5
24/02/2023,0.4
25/02/2023,0
26/02/2023,0.6
27/02/2023,0.5
28/02/2023,0.4
01/03/2023,0.5
02/03/2023,0.7
03/03/2023,0.2
04/03/2023,0.1
05/03/2023,0.6
06/03/2023,0.3
07/03/2023,0.5
08/03/2023,0.1
09/03/2023,0.4
10/03/2023,0.5
11/03/2023,0.1
12/03/2023,1.8
13/03/2023,0.5
14/03/2023,0.3
15/03/2023,0.5
16/03/2023,1
17/03/2023,0.5
18/03/2023,0.1
19/03/2023,0.4
20/03/2023,0.5
21/03/2023,0.5
22/03/2023,0.5
23/03/2023,1.9
24/03/2023,0.5
25/03/2023,0.7
26/03/2023,0.3
27/03/2023,0.6
28/03/2023,0.7
29/03/2023,0.3
30/03/2023,0.2
31/03/2023,0
01/04/2023,0
02/04/2023,0.9
03/04/2023,1.5
04/04/2023,0.7
05/04/2023,0.2
06/04/2023,0
07/04/2023,0.2
08/04/2023,0.8
09/04/2023,1.3
10/04/2023,1.4
11/04/2023,0.1
12/04/2023,0
13/04/2023,0.3
14/04/2023,0.2
15/04/2023,0.1
16/04/2023,0.8
17/04/2023,2.4
18/04/2023,1.7
19/04/2023,0.5
