Time,PM 2.5 [µg/m³]
01/01/2024 00:05,32.8
01/01/2024 00:10,32.2
01/01/2024 00:15,31.8
01/01/2024 00:20,31.3
01/01/2024 00:25,30.6
01/01/2024 00:30,29.4
01/01/2024 00:35,27.2
01/01/2024 00:40,25
01/01/2024 00:45,23.8
01/01/2024 00:50,23.4
01/01/2024 00:55,24
01/01/2024 01:00,25.1
01/01/2024 01:05,26.3
01/01/2024 01:10,26.6
01/01/2024 01:15,26.1
01/01/2024 01:20,25.3
01/01/2024 01:25,24.6
01/01/2024 01:30,24.2
01/01/2024 01:35,24.3
01/01/2024 01:40,24.9
01/01/2024 01:45,26.1
01/01/2024 01:50,27.6
01/01/2024 01:55,28.4
01/01/2024 02:00,28.4
01/01/2024 02:05,27.7
01/01/2024 02:10,27.2
01/01/2024 02:15,27.1
01/01/2024 02:20,27.6
01/01/2024 02:25,28.4
01/01/2024 02:30,29.4
01/01/2024 02:35,30.1
01/01/2024 02:40,30.1
01/01/2024 02:45,28.8
01/01/2024 02:50,27.3
01/01/2024 02:55,26.2
01/01/2024 03:00,25.8
01/01/2024 03:05,26.2
01/01/2024 03:10,27.1
01/01/2024 03:15,28.1
01/01/2024 03:20,28.5
01/01/2024 03:25,28.4
01/01/2024 03:30,27.9
01/01/2024 03:35,27.3
01/01/2024 03:40,27.4
01/01/2024 03:45,28.1
01/01/2024 03:50,28.9
01/01/2024 03:55,29.7
01/01/2024 04:00,30
01/01/2024 04:05,30.2
01/01/2024 04:10,30.1
01/01/2024 04:15,29.9
01/01/2024 04:20,29.8
01/01/2024 04:25,29.7
01/01/2024 04:30,29.7
01/01/2024 04:35,29.8
01/01/2024 04:40,29.8
01/01/2024 04:45,29.4
01/01/2024 04:50,29
01/01/2024 04:55,28.6
01/01/2024 05:00,28.2
01/01/2024 05:05,28
01/01/2024 05:10,27.8
01/01/2024 05:15,27.5
01/01/2024 05:20,27.2
01/01/2024 05:25,27
01/01/2024 05:30,27.2
01/01/2024 05:35,27.7
01/01/2024 05:40,27.6
01/01/2024 05:45,27.4
01/01/2024 05:50,27.2
01/01/2024 05:55,26.8
01/01/2024 06:00,26.2
01/01/2024 06:05,25.3
01/01/2024 06:10,24.7
01/01/2024 06:15,24.7
01/01/2024 06:20,24.9
01/01/2024 06:25,25.2
01/01/2024 06:30,25.5
01/01/2024 06:35,25.6
01/01/2024 06:40,26.3
01/01/2024 06:45,27.4
01/01/2024 06:50,28.5
01/01/2024 06:55,29.4
01/01/2024 07:00,30.3
01/01/2024 07:05,31
01/01/2024 07:10,31.5
01/01/2024 07:15,31.7
01/01/2024 07:20,31.8
01/01/2024 07:25,31.9
01/01/2024 07:30,32
01/01/2024 07:35,32.3
01/01/2024 07:40,32.3
01/01/2024 07:45,31.7
01/01/2024 07:50,30.9
01/01/2024 07:55,30
01/01/2024 08:00,29.2
01/01/2024 08:05,28.5
01/01/2024 08:10,27.8
01/01/2024 08:15,27.4
01/01/2024 08:20,27.5
01/01/2024 08:25,27.8
01/01/2024 08:30,27.9
01/01/2024 08:35,27.5
01/01/2024 08:40,27.4
01/01/2024 08:45,27.7
01/01/2024 08:50,28
01/01/2024 08:55,28.3
01/01/2024 09:00,28.7
01/01/2024 09:05,29.3
01/01/2024 09:10,30
01/01/2024 09:15,30.2
01/01/2024 09:20,30.1
01/01/2024 09:25,29.7
01/01/2024 09:30,29.3
