,Mean,std,Skew,Kurtosis,DTW,Wass.
Original Demand $[m^3]$,14528.06802818792,1915.9177778854366,-0.2574941815974988,-0.3354728511053908,-,-
m=3,14528.07 +- 0.00,1915.92 +- 0.00,-0.02 +- 0.31,-0.43 +- 0.25,21865.77 +- 1868.04,230.35 +- 97.98
m=40,14528.07 +- 0.00,1915.92 +- 0.00,-0.09 +- 0.28,-0.20 +- 0.33,13032.97 +- 1766.15,239.49 +- 103.73
m=100,14528.07 +- 0.00,1915.92 +- 0.00,-0.25 +- 0.00,-0.35 +- 0.02,3621.13 +- 215.59,28.34 +- 2.39
Original NO [µg/m³],0.6408219178082192,0.6522495392389465,4.5766217500052635,34.25478261343335,-,-
m=3,0.753 +- 0.009,0.519 +- 0.012,0.708 +- 0.116,0.079 +- 0.416,9.200 +- 0.213,0.189 +- 0.011
m=40,0.741 +- 0.008,0.535 +- 0.011,0.922 +- 0.129,0.766 +- 0.597,8.779 +- 0.234,0.170 +- 0.010
m=100,0.702 +- 0.007,0.585 +- 0.008,1.965 +- 0.170,6.806 +- 1.542,7.539 +- 0.376,0.110 +- 0.007
Original PM 2.5 [µg/m³],13.435714285714285,9.491607314382051,0.8258036068858052,-0.2519126794656721,-,-
m=3,13.44 +- 0.00,9.49 +- 0.00,0.36 +- 0.18,-0.53 +- 0.29,130.77 +- 18.43,1.50 +- 0.36
m=40,13.44 +- 0.00,9.49 +- 0.00,0.75 +- 0.02,-0.50 +- 0.05,65.55 +- 4.02,0.36 +- 0.04
m=100,13.44 +- 0.00,9.49 +- 0.00,0.82 +- 0.00,-0.28 +- 0.01,40.93 +- 1.63,0.20 +- 0.03
Original u [m/s],1.470805,0.32578068539279614,0.0030008245984368873,-0.5619917921589903,-,-
m=3,1.47 +- 0.00,0.33 +- 0.00,-0.18 +- 0.22,-0.50 +- 0.35,5.41 +- 0.81,0.03 +- 0.01
m=40,1.47 +- 0.00,0.33 +- 0.00,0.02 +- 0.02,-0.55 +- 0.06,2.63 +- 0.15,0.01 +- 0.00
m=100,1.47 +- 0.00,0.33 +- 0.00,0.02 +- 0.01,-0.61 +- 0.01,1.65 +- 0.05,0.01 +- 0.00
Original wave height [m],-0.00920775,0.040366803006152224,-0.16748894447869783,-0.6262955563653914,-,-
m=3,-0.0092 +- 0.0000,0.0404 +- 0.0000,-0.0091 +- 0.2717,-0.2725 +- 0.4142,0.6870 +- 0.1085,0.0050 +- 0.0015
m=40,-0.0092 +- 0.0000,0.0404 +- 0.0000,-0.1820 +- 0.0071,-0.5756 +- 0.0257,0.1709 +- 0.0099,0.0009 +- 0.0001
m=100,-0.0092 +- 0.0000,0.0404 +- 0.0000,-0.1715 +- 0.0006,-0.6209 +- 0.0017,0.1105 +- 0.0026,0.0004 +- 0.0000
