date,value
2024-01-01 00:00:00,32.8
2024-01-01 01:00:00,32.2
2024-01-01 02:00:00,31.8
2024-01-01 03:00:00,31.3
2024-01-01 04:00:00,30.6
2024-01-01 05:00:00,29.4
2024-01-01 06:00:00,27.2
2024-01-01 07:00:00,25
2024-01-01 08:00:00,23.8
2024-01-01 09:00:00,23.4
2024-01-01 10:00:00,24
2024-01-01 11:00:00,25.1
2024-01-01 12:00:00,26.3
2024-01-01 13:00:00,26.6
2024-01-01 14:00:00,26.1
2024-01-01 15:00:00,25.3
2024-01-01 16:00:00,24.6
2024-01-01 17:00:00,24.2
2024-01-01 18:00:00,24.3
2024-01-01 19:00:00,24.9
2024-01-01 20:00:00,26.1
2024-01-01 21:00:00,27.6
2024-01-01 22:00:00,28.4
2024-01-01 23:00:00,28.4
2024-01-02 00:00:00,27.7
2024-01-02 01:00:00,27.2
2024-01-02 02:00:00,27.1
2024-01-02 03:00:00,27.6
2024-01-02 04:00:00,28.4
2024-01-02 05:00:00,29.4
2024-01-02 06:00:00,30.1
2024-01-02 07:00:00,30.1
2024-01-02 08:00:00,28.8
2024-01-02 09:00:00,27.3
2024-01-02 10:00:00,26.2
2024-01-02 11:00:00,25.8
2024-01-02 12:00:00,26.2
2024-01-02 13:00:00,27.1
2024-01-02 14:00:00,28.1
2024-01-02 15:00:00,28.5
2024-01-02 16:00:00,28.4
2024-01-02 17:00:00,27.9
2024-01-02 18:00:00,27.3
2024-01-02 19:00:00,27.4
2024-01-02 20:00:00,28.1
2024-01-02 21:00:00,28.9
2024-01-02 22:00:00,29.7
2024-01-02 23:00:00,30
2024-01-03 00:00:00,30.2
2024-01-03 01:00:00,30.1
2024-01-03 02:00:00,29.9
2024-01-03 03:00:00,29.8
2024-01-03 04:00:00,29.7
2024-01-03 05:00:00,29.7
2024-01-03 06:00:00,29.8
2024-01-03 07:00:00,29.8
2024-01-03 08:00:00,29.4
2024-01-03 09:00:00,29
2024-01-03 10:00:00,28.6
2024-01-03 11:00:00,28.2
2024-01-03 12:00:00,28
2024-01-03 13:00:00,27.8
2024-01-03 14:00:00,27.5
2024-01-03 15:00:00,27.2
2024-01-03 16:00:00,27
2024-01-03 17:00:00,27.2
2024-01-03 18:00:00,27.7
2024-01-03 19:00:00,27.6
2024-01-03 20:00:00,27.4
2024-01-03 21:00:00,27.2
2024-01-03 22:00:00,26.8
2024-01-03 23:00:00,26.2
2024-01-04 00:00:00,25.3
2024-01-04 01:00:00,24.7
2024-01-04 02:00:00,24.7
2024-01-04 03:00:00,24.9
2024-01-04 04:00:00,25.2
2024-01-04 05:00:00,25.5
2024-01-04 06:00:00,25.6
2024-01-04 07:00:00,26.3
2024-01-04 08:00:00,27.4
2024-01-04 09:00:00,28.5
2024-01-04 10:00:00,29.4
2024-01-04 11:00:00,30.3
2024-01-04 12:00:00,31
2024-01-04 13:00:00,31.5
2024-01-04 14:00:00,31.7
2024-01-04 15:00:00,31.8
2024-01-04 16:00:00,31.9
2024-01-04 17:00:00,32
2024-01-04 18:00:00,32.3
2024-01-04 19:00:00,32.3
2024-01-04 20:00:00,31.7
2024-01-04 21:00:00,30.9
2024-01-04 22:00:00,30
2024-01-04 23:00:00,29.2
2024-01-05 00:00:00,28.5
2024-01-05 01:00:00,27.8
2024-01-05 02:00:00,27.4
2024-01-05 03:00:00,27.5
2024-01-05 03:59:59,27.8
2024-01-05 04:59:59,27.9
2024-01-05 05:59:59,27.5
2024-01-05 06:59:59,27.4
2024-01-05 07:59:59,27.7
2024-01-05 08:59:59,28
2024-01-05 09:59:59,28.3
2024-01-05 10:59:59,28.7
2024-01-05 11:59:59,29.3
2024-01-05 12:59:59,30
2024-01-05 13:59:59,30.2
2024-01-05 14:59:59,30.1
2024-01-05 15:59:59,29.7
2024-01-05 16:59:59,29.3
2024-01-05 17:59:59,29
2024-01-05 18:59:59,28.8
2024-01-05 19:59:59,28.8
2024-01-05 20:59:59,29.1
2024-01-05 21:59:59,29.8
2024-01-05 22:59:59,30.6
2024-01-05 23:59:59,31.5
2024-01-06 00:59:59,32.2
2024-01-06 01:59:59,32.5
2024-01-06 02:59:59,32.4
2024-01-06 03:59:59,32.2
2024-01-06 04:59:59,32
2024-01-06 05:59:59,32.4
2024-01-06 06:59:59,33.4
2024-01-06 07:59:59,34.1
2024-01-06 08:59:59,34.3
2024-01-06 09:59:59,34
2024-01-06 10:59:59,33.2
2024-01-06 11:59:59,32
2024-01-06 12:59:59,31.5
2024-01-06 13:59:59,31.4
2024-01-06 14:59:59,31.6
2024-01-06 15:59:59,32.1
2024-01-06 16:59:59,32.7
2024-01-06 17:59:59,33.1
2024-01-06 18:59:59,32.4
2024-01-06 19:59:59,31.4
2024-01-06 20:59:59,30.5
2024-01-06 21:59:59,30.2
2024-01-06 22:59:59,30.4
2024-01-06 23:59:59,30.9
2024-01-07 00:59:59,30.9
2024-01-07 01:59:59,30.5
2024-01-07 02:59:59,30.3
2024-01-07 03:59:59,30.2
2024-01-07 04:59:59,30.2
2024-01-07 05:59:59,30
2024-01-07 06:59:59,29.6
2024-01-07 07:59:59,29.8
2024-01-07 08:59:59,30.3
2024-01-07 09:59:59,30.7
2024-01-07 10:59:59,30.8
2024-01-07 11:59:59,30.9
2024-01-07 12:59:59,31.1
2024-01-07 13:59:59,31.3
2024-01-07 14:59:59,31.5
2024-01-07 15:59:59,31.5
2024-01-07 16:59:59,31.4
2024-01-07 17:59:59,31.2
2024-01-07 18:59:59,31.7
2024-01-07 19:59:59,32
2024-01-07 20:59:59,32
2024-01-07 21:59:59,31.9
2024-01-07 22:59:59,31.9
2024-01-07 23:59:59,31.9
2024-01-08 00:59:59,31.9
2024-01-08 01:59:59,32
2024-01-08 02:59:59,31.9
2024-01-08 03:59:59,31.6
2024-01-08 04:59:59,31.2
2024-01-08 05:59:59,30.9
2024-01-08 06:59:59,30.4
2024-01-08 07:59:59,30
2024-01-08 08:59:59,29.6
2024-01-08 09:59:59,29.2
2024-01-08 10:59:59,28.6
2024-01-08 11:59:59,27.9
2024-01-08 12:59:59,27.6
2024-01-08 13:59:59,27.4
2024-01-08 14:59:59,27
2024-01-08 15:59:59,26.5
2024-01-08 16:59:59,26.1
2024-01-08 17:59:59,26
2024-01-08 18:59:59,25.6
2024-01-08 19:59:59,25.3
2024-01-08 20:59:59,25
2024-01-08 21:59:59,24.9
2024-01-08 22:59:59,24.7
2024-01-08 23:59:59,24.7
2024-01-09 00:59:59,24.1
2024-01-09 01:59:59,23.4
2024-01-09 02:59:59,23
2024-01-09 03:59:59,22.9
2024-01-09 04:59:59,22.7
2024-01-09 05:59:59,22.3
2024-01-09 06:59:59,22.3
2024-01-09 07:59:59,22.2
2024-01-09 08:59:59,22
2024-01-09 09:59:59,21.9
2024-01-09 10:59:59,22.1
2024-01-09 11:59:59,22.7
2024-01-09 12:59:59,23.6
2024-01-09 13:59:59,24.3
2024-01-09 14:59:59,24.9
2024-01-09 15:59:59,25.7
2024-01-09 16:59:59,26.6
2024-01-09 17:59:59,27.5
2024-01-09 18:59:59,27.4
2024-01-09 19:59:59,27
2024-01-09 20:59:59,27
2024-01-09 21:59:59,27.4
2024-01-09 22:59:59,27.8
2024-01-09 23:59:59,27.7
2024-01-10 00:59:59,26.8
2024-01-10 01:59:59,26.1
2024-01-10 02:59:59,25.7
2024-01-10 03:59:59,25.5
2024-01-10 04:59:59,25.6
2024-01-10 05:59:59,25.7
2024-01-10 06:59:59,25.9
2024-01-10 07:59:59,26.2
2024-01-10 08:59:59,26.3
2024-01-10 09:59:59,26.4
2024-01-10 10:59:59,26.3
2024-01-10 11:59:59,26.6
2024-01-10 12:59:59,27.8
2024-01-10 13:59:59,28.9
2024-01-10 14:59:59,29.4
2024-01-10 15:59:59,29.5
2024-01-10 16:59:59,29.2
2024-01-10 17:59:59,29.2
2024-01-10 18:59:59,29.8
2024-01-10 19:59:59,30.3
2024-01-10 20:59:59,30.4
2024-01-10 21:59:59,30.3
2024-01-10 22:59:59,30
2024-01-10 23:59:59,29.6
2024-01-11 00:59:59,29
2024-01-11 01:59:59,28.4
2024-01-11 02:59:59,27.7
2024-01-11 03:59:59,26.9
2024-01-11 04:59:59,26
2024-01-11 05:59:59,25.1
2024-01-11 06:59:59,24.3
2024-01-11 07:59:59,24.3
2024-01-11 08:59:59,24.7
2024-01-11 09:59:59,25.3
2024-01-11 10:59:59,25.8
2024-01-11 11:59:59,25.9
2024-01-11 12:59:59,26.6
