date,value
2024-01-01 00:00:00,13538.28
2024-01-01 03:00:00,12680.56
2024-01-01 06:00:00,11838.1
2024-01-01 09:00:00,11249.34
2024-01-01 12:00:00,11228.38
2024-01-01 15:00:00,11572.06
2024-01-01 18:00:00,12436.16
2024-01-01 21:00:00,13312.22
2024-01-02 00:00:00,14146.55
2024-01-02 03:00:00,14456.38
2024-01-02 06:00:00,14765.88
2024-01-02 09:00:00,14627.83
2024-01-02 12:00:00,14576.51
2024-01-02 15:00:00,14424
2024-01-02 18:00:00,14471.47
2024-01-02 21:00:00,14207.3
2024-01-03 00:00:00,14500.94
2024-01-03 03:00:00,14410.64
2024-01-03 06:00:00,14768.47
2024-01-03 09:00:00,14913.96
2024-01-03 12:00:00,15196.45
2024-01-03 15:00:00,14968.34
2024-01-03 18:00:00,14908.97
2024-01-03 21:00:00,14318.99
2024-01-04 00:00:00,13744.75
2024-01-04 03:00:00,13201.49
2024-01-04 06:00:00,12696.09
2024-01-04 09:00:00,12540.22
2024-01-04 12:00:00,12745.59
2024-01-04 15:00:00,13415.2
2024-01-04 18:00:00,14339.16
2024-01-04 21:00:00,15285.72
2024-01-05 00:00:00,16173.34
2024-01-05 03:00:00,16665.26
2024-01-05 06:00:00,16848.55
2024-01-05 09:00:00,16768.76
2024-01-05 12:00:00,16642.7
2024-01-05 15:00:00,16615.63
2024-01-05 18:00:00,16629.03
2024-01-05 21:00:00,16873.71
2024-01-06 00:00:00,17094.3
2024-01-06 03:00:00,17272.28
2024-01-06 06:00:00,17181.21
2024-01-06 09:00:00,17039.11
2024-01-06 12:00:00,16481.9
2024-01-06 15:00:00,15825.22
2024-01-06 18:00:00,15048.42
2024-01-06 21:00:00,14173.84
2024-01-07 00:00:00,13193.83
2024-01-07 03:00:00,12279.22
2024-01-07 06:00:00,11424.54
2024-01-07 09:00:00,10888.92
2024-01-07 12:00:00,10778.13
2024-01-07 15:00:00,11250
2024-01-07 18:00:00,12105.49
2024-01-07 21:00:00,13190.53
