data,value
2020-01-01 00:00:00,11439.4
2020-01-01 01:00:00,10413.83
2020-01-01 02:00:00,9271.638
2020-01-01 03:00:00,8578.525
2020-01-01 04:00:00,8380.612
2020-01-01 05:00:00,8658.938
2020-01-01 06:00:00,9494
2020-01-01 07:00:00,10316
2020-01-01 08:00:00,11192.24
2020-01-01 09:00:00,11719.64
2020-01-01 10:00:00,12195.41
2020-01-01 11:00:00,12324.42
2020-01-01 12:00:00,12439.2
2020-01-01 13:00:00,12572.59
2020-01-01 14:00:00,12541.65
2020-01-01 15:00:00,12651.45
2020-01-01 16:00:00,12833.66
2020-01-01 17:00:00,13072.24
2020-01-01 18:00:00,13091.09
2020-01-01 19:00:00,13368.91
2020-01-01 20:00:00,13276.03
2020-01-01 21:00:00,13136.78
2020-01-01 22:00:00,12812.94
2020-01-01 23:00:00,12812.94
2020-01-02 00:00:00,10961.5
2020-01-02 01:00:00,10049.9
2020-01-02 02:00:00,9034.662
2020-01-02 03:00:00,8453.325
2020-01-02 04:00:00,8508.45
2020-01-02 05:00:00,8882.425
2020-01-02 06:00:00,9874.862
2020-01-02 07:00:00,10737.2
2020-01-02 08:00:00,11683.64
2020-01-02 09:00:00,12207.26
2020-01-02 10:00:00,12786.42
2020-01-02 11:00:00,12906.89
2020-01-02 12:00:00,12965.97
2020-01-02 13:00:00,12836.28
2020-01-02 14:00:00,12530.03
2020-01-02 15:00:00,12389.01
2020-01-02 16:00:00,12291.78
2020-01-02 17:00:00,12572.29
2020-01-02 18:00:00,12866.39
2020-01-02 19:00:00,13456.13
2020-01-02 20:00:00,13551.9
2020-01-02 21:00:00,13697.03
2020-01-02 22:00:00,13294.47
2020-01-02 23:00:00,12676.08
2020-01-03 00:00:00,11690.71
2020-01-03 01:00:00,10757.05
2020-01-03 02:00:00,9736.175
2020-01-03 03:00:00,9037.275
2020-01-03 04:00:00,8984.375
2020-01-03 05:00:00,9307.7
2020-01-03 06:00:00,10255.4
2020-01-03 07:00:00,11307.39
2020-01-03 08:00:00,12579.01
2020-01-03 09:00:00,13462.72
2020-01-03 10:00:00,14535.3
2020-01-03 11:00:00,15255.91
2020-01-03 12:00:00,16309.65
2020-01-03 13:00:00,17016.91
2020-01-03 14:00:00,17395.97
2020-01-03 15:00:00,17233.1
2020-01-03 16:00:00,16404.09
2020-01-03 17:00:00,15135.79
2020-01-03 18:00:00,13814.42
2020-01-03 19:00:00,12717.51
2020-01-03 20:00:00,11636.96
2020-01-03 21:00:00,10927.06
2020-01-03 22:00:00,10037.29
2020-01-03 23:00:00,9241.475
2020-01-04 00:00:00,8286.075
2020-01-04 01:00:00,7651.2
2020-01-04 02:00:00,7168.675
2020-01-04 03:00:00,6908.263
2020-01-04 04:00:00,6977.013
2020-01-04 05:00:00,7304.575
2020-01-04 06:00:00,7738.625
2020-01-04 07:00:00,8418.3
2020-01-04 08:00:00,9100.775
2020-01-04 09:00:00,9673.987
2020-01-04 10:00:00,10230.6
2020-01-04 11:00:00,10546.8
2020-01-04 12:00:00,10823.22
2020-01-04 13:00:00,10842.26
2020-01-04 14:00:00,10824.13
2020-01-04 15:00:00,10920.51
2020-01-04 16:00:00,11350.89
2020-01-04 17:00:00,11737.44
2020-01-04 18:00:00,12673.26
2020-01-04 19:00:00,13251.59
2020-01-04 20:00:00,13650.99
2020-01-04 21:00:00,13593.34
2020-01-04 22:00:00,13271.49
2020-01-04 23:00:00,12384.61
2020-01-05 00:00:00,11558.21
2020-01-05 01:00:00,10514.34
2020-01-05 02:00:00,9669.287
2020-01-05 03:00:00,8978.975
2020-01-05 04:00:00,8946.338
2020-01-05 05:00:00,9271.7
2020-01-05 06:00:00,10087.65
2020-01-05 07:00:00,10819.26
2020-01-05 08:00:00,11681.14
2020-01-05 09:00:00,11794.28
2020-01-05 10:00:00,11945.06
2020-01-05 11:00:00,11732.83
2020-01-05 12:00:00,11617.97
2020-01-05 13:00:00,11447.84
2020-01-05 14:00:00,11666.49
2020-01-05 15:00:00,11794.38
2020-01-05 16:00:00,12166.16
2020-01-05 17:00:00,12507.39
2020-01-05 18:00:00,12943.9
2020-01-05 19:00:00,13340.16
2020-01-05 20:00:00,13558.05
2020-01-05 21:00:00,13584.84
2020-01-05 22:00:00,13336.61
2020-01-05 23:00:00,12585.31
2020-01-06 00:00:00,11600.53
2020-01-06 01:00:00,10470.2
2020-01-06 02:00:00,9306.4
2020-01-06 03:00:00,8622.2
2020-01-06 04:00:00,8518.313
2020-01-06 05:00:00,9087.162
2020-01-06 06:00:00,10084.66
2020-01-06 07:00:00,11304.47
2020-01-06 08:00:00,12240.33
2020-01-06 09:00:00,12861.1
2020-01-06 10:00:00,12987.01
2020-01-06 11:00:00,12865.94
2020-01-06 12:00:00,12536.41
2020-01-06 13:00:00,12253.14
2020-01-06 14:00:00,12074.28
2020-01-06 15:00:00,12009.28
2020-01-06 16:00:00,12171.19
2020-01-06 17:00:00,12438.46
2020-01-06 18:00:00,12782.55
2020-01-06 19:00:00,13015.11
2020-01-06 20:00:00,13332.97
2020-01-06 21:00:00,13218.78
2020-01-06 22:00:00,13011.33
2020-01-06 23:00:00,12354.17
2020-01-07 00:00:00,11461.96
2020-01-07 01:00:00,10439.35
2020-01-07 02:00:00,9558.063
2020-01-07 03:00:00,9024.125
2020-01-07 04:00:00,8998.388
2020-01-07 05:00:00,9496.287
2020-01-07 06:00:00,10104.31
2020-01-07 07:00:00,10917.01
2020-01-07 08:00:00,11395.29
2020-01-07 09:00:00,11836.61
2020-01-07 10:00:00,12055.76
2020-01-07 11:00:00,12193.97
2020-01-07 12:00:00,12157.99
2020-01-07 13:00:00,12154.08
2020-01-07 14:00:00,12038.17
2020-01-07 15:00:00,11974.06
2020-01-07 16:00:00,12124.4
2020-01-07 17:00:00,12288.6
2020-01-07 18:00:00,12649.06
2020-01-07 19:00:00,13122.25
2020-01-07 20:00:00,13375.49
2020-01-07 21:00:00,13383.34
2020-01-07 22:00:00,13144.89
