date,value
2024-01-01 00:00:00,-0.0253
2024-01-01 01:00:00,-0.0231
2024-01-01 02:00:00,-0.0201
2024-01-01 03:00:00,-0.0207
2024-01-01 04:00:00,-0.0186
2024-01-01 05:00:00,-0.0203
2024-01-01 06:00:00,-0.0211
2024-01-01 07:00:00,-0.0207
2024-01-01 08:00:00,-0.0146
2024-01-01 09:00:00,-0.0138
2024-01-01 10:00:00,-0.0109
2024-01-01 11:00:00,-0.0077
2024-01-01 12:00:00,-0.0067
2024-01-01 13:00:00,-0.0014
2024-01-01 14:00:00,0.0003
2024-01-01 15:00:00,0.0074
2024-01-01 16:00:00,0.0072
2024-01-01 17:00:00,0.0129
2024-01-01 18:00:00,0.0141
2024-01-01 19:00:00,0.0153
2024-01-01 20:00:00,0.0187
2024-01-01 21:00:00,0.0206
2024-01-01 22:00:00,0.0218
2024-01-01 23:00:00,0.025
2024-01-02 00:00:00,0.0259
2024-01-02 01:00:00,0.0293
2024-01-02 02:00:00,0.0279
2024-01-02 03:00:00,0.0283
2024-01-02 04:00:00,0.0311
2024-01-02 05:00:00,0.0295
2024-01-02 06:00:00,0.0285
2024-01-02 07:00:00,0.0273
2024-01-02 08:00:00,0.0301
2024-01-02 09:00:00,0.0281
2024-01-02 10:00:00,0.0291
2024-01-02 11:00:00,0.0273
2024-01-02 12:00:00,0.032
2024-01-02 13:00:00,0.0275
2024-01-02 14:00:00,0.0285
2024-01-02 15:00:00,0.0267
2024-01-02 16:00:00,0.0257
2024-01-02 17:00:00,0.0244
2024-01-02 18:00:00,0.023
2024-01-02 19:00:00,0.0234
2024-01-02 20:00:00,0.024
2024-01-02 21:00:00,0.0183
2024-01-02 22:00:00,0.0167
2024-01-02 23:00:00,0.0181
2024-01-03 00:00:00,0.0224
2024-01-03 01:00:00,0.0167
2024-01-03 02:00:00,0.0173
2024-01-03 03:00:00,0.0183
2024-01-03 04:00:00,0.0155
2024-01-03 05:00:00,0.0171
2024-01-03 06:00:00,0.0173
2024-01-03 07:00:00,0.0157
2024-01-03 08:00:00,0.0175
2024-01-03 09:00:00,0.0171
2024-01-03 10:00:00,0.0196
2024-01-03 11:00:00,0.0163
2024-01-03 12:00:00,0.0175
2024-01-03 13:00:00,0.0208
2024-01-03 14:00:00,0.0185
2024-01-03 15:00:00,0.0228
2024-01-03 16:00:00,0.0208
2024-01-03 17:00:00,0.0218
2024-01-03 18:00:00,0.021
2024-01-03 19:00:00,0.0222
2024-01-03 20:00:00,0.0194
2024-01-03 21:00:00,0.0214
2024-01-03 22:00:00,0.0173
2024-01-03 23:00:00,0.0163
2024-01-04 00:00:00,0.0165
2024-01-04 01:00:00,0.0163
2024-01-04 02:00:00,0.0157
2024-01-04 03:00:00,0.0139
2024-01-04 04:00:00,0.0106
2024-01-04 05:00:00,0.011
2024-01-04 06:00:00,0.0106
2024-01-04 07:00:00,0.0088
2024-01-04 08:00:00,0.0092
2024-01-04 09:00:00,0.007
2024-01-04 10:00:00,0.0051
2024-01-04 11:00:00,0.0025
2024-01-04 12:00:00,-0.0014
2024-01-04 13:00:00,-0.0008
2024-01-04 14:00:00,-0.0048
2024-01-04 15:00:00,-0.0062
2024-01-04 16:00:00,-0.0077
2024-01-04 17:00:00,-0.0085
2024-01-04 18:00:00,-0.0089
2024-01-04 19:00:00,-0.0115
2024-01-04 20:00:00,-0.0134
2024-01-04 21:00:00,-0.0201
2024-01-04 22:00:00,-0.0197
2024-01-04 23:00:00,-0.0233
2024-01-05 00:00:00,-0.0239
2024-01-05 01:00:00,-0.031
2024-01-05 02:00:00,-0.0296
2024-01-05 03:00:00,-0.0308
2024-01-05 04:00:00,-0.0388
2024-01-05 05:00:00,-0.0402
2024-01-05 06:00:00,-0.0424
2024-01-05 07:00:00,-0.0491
2024-01-05 08:00:00,-0.0516
2024-01-05 09:00:00,-0.0528
2024-01-05 10:00:00,-0.0568
2024-01-05 11:00:00,-0.0605
2024-01-05 12:00:00,-0.0642
2024-01-05 13:00:00,-0.0666
2024-01-05 14:00:00,-0.0688
2024-01-05 15:00:00,-0.0723
2024-01-05 16:00:00,-0.0768
2024-01-05 17:00:00,-0.0753
2024-01-05 18:00:00,-0.077
2024-01-05 19:00:00,-0.081
2024-01-05 20:00:00,-0.0857
2024-01-05 21:00:00,-0.0871
2024-01-05 22:00:00,-0.0885
2024-01-05 23:00:00,-0.0918
2024-01-06 00:00:00,-0.0952
2024-01-06 01:00:00,-0.0946
2024-01-06 02:00:00,-0.0955
2024-01-06 03:00:00,-0.0977
2024-01-06 04:00:00,-0.0985
2024-01-06 05:00:00,-0.0967
2024-01-06 06:00:00,-0.0973
2024-01-06 07:00:00,-0.0973
2024-01-06 08:00:00,-0.0985
2024-01-06 09:00:00,-0.0983
2024-01-06 10:00:00,-0.0946
2024-01-06 11:00:00,-0.095
2024-01-06 12:00:00,-0.0946
2024-01-06 13:00:00,-0.0936
2024-01-06 14:00:00,-0.0938
2024-01-06 15:00:00,-0.0946
2024-01-06 16:00:00,-0.0924
2024-01-06 17:00:00,-0.0894
2024-01-06 18:00:00,-0.0912
2024-01-06 19:00:00,-0.0916
2024-01-06 20:00:00,-0.09
2024-01-06 21:00:00,-0.0889
2024-01-06 22:00:00,-0.0867
2024-01-06 23:00:00,-0.0847
2024-01-07 00:00:00,-0.0839
2024-01-07 01:00:00,-0.0808
2024-01-07 02:00:00,-0.0776
2024-01-07 03:00:00,-0.0763
2024-01-07 04:00:00,-0.0743
2024-01-07 05:00:00,-0.0725
2024-01-07 06:00:00,-0.0654
2024-01-07 07:00:00,-0.0646
2024-01-07 08:00:00,-0.0611
2024-01-07 09:00:00,-0.057
2024-01-07 10:00:00,-0.0499
2024-01-07 11:00:00,-0.0481
2024-01-07 12:00:00,-0.0408
2024-01-07 13:00:00,-0.0416
2024-01-07 14:00:00,-0.0347
2024-01-07 15:00:00,-0.0306
2024-01-07 16:00:00,-0.029
2024-01-07 17:00:00,-0.027
2024-01-07 18:00:00,-0.0241
2024-01-07 19:00:00,-0.0168
2024-01-07 20:00:00,-0.0164
2024-01-07 21:00:00,-0.0111
2024-01-07 22:00:00,-0.0105
2024-01-07 23:00:00,-0.0048
2024-01-08 00:00:00,-0.0012
2024-01-08 01:00:00,0.0015
2024-01-08 02:00:00,0.0049
2024-01-08 03:00:00,0.0055
2024-01-08 04:00:00,0.0088
2024-01-08 05:00:00,0.0114
2024-01-08 06:00:00,0.0106
2024-01-08 07:00:00,0.0179
2024-01-08 08:00:00,0.0165
2024-01-08 09:00:00,0.0192
2024-01-08 10:00:00,0.0232
2024-01-08 11:00:00,0.0246
2024-01-08 12:00:00,0.0309
2024-01-08 13:00:00,0.0307
2024-01-08 14:00:00,0.0301
2024-01-08 15:00:00,0.0283
2024-01-08 16:00:00,0.0279
2024-01-08 17:00:00,0.0309
2024-01-08 18:00:00,0.0283
2024-01-08 19:00:00,0.0279
2024-01-08 20:00:00,0.0313
2024-01-08 21:00:00,0.0271
2024-01-08 22:00:00,0.0275
2024-01-08 23:00:00,0.0303
2024-01-09 00:00:00,0.0281
2024-01-09 01:00:00,0.0293
2024-01-09 02:00:00,0.0267
2024-01-09 03:00:00,0.0281
2024-01-09 04:00:00,0.0289
2024-01-09 05:00:00,0.0265
2024-01-09 06:00:00,0.0269
2024-01-09 07:00:00,0.0269
2024-01-09 08:00:00,0.0287
2024-01-09 09:00:00,0.0277
2024-01-09 10:00:00,0.0303
2024-01-09 11:00:00,0.0285
2024-01-09 12:00:00,0.0305
2024-01-09 13:00:00,0.0338
2024-01-09 14:00:00,0.0342
2024-01-09 15:00:00,0.034
2024-01-09 16:00:00,0.0374
2024-01-09 17:00:00,0.0366
2024-01-09 18:00:00,0.0403
2024-01-09 19:00:00,0.0423
2024-01-09 20:00:00,0.0431
2024-01-09 21:00:00,0.0421
2024-01-09 22:00:00,0.0474
2024-01-09 23:00:00,0.0476
2024-01-10 00:00:00,0.0513
2024-01-10 01:00:00,0.0545
2024-01-10 02:00:00,0.0551
2024-01-10 03:00:00,0.0551
2024-01-10 04:00:00,0.0604
2024-01-10 05:00:00,0.058
2024-01-10 06:00:00,0.0578
2024-01-10 07:00:00,0.0594
2024-01-10 08:00:00,0.0557
2024-01-10 09:00:00,0.0557
2024-01-10 10:00:00,0.0578
2024-01-10 11:00:00,0.0555
2024-01-10 12:00:00,0.0572
2024-01-10 13:00:00,0.0561
2024-01-10 14:00:00,0.0549
2024-01-10 15:00:00,0.0563
2024-01-10 16:00:00,0.0535
2024-01-10 17:00:00,0.0547
2024-01-10 18:00:00,0.0545
2024-01-10 19:00:00,0.0529
2024-01-10 20:00:00,0.049
2024-01-10 21:00:00,0.0517
2024-01-10 22:00:00,0.0517
2024-01-10 23:00:00,0.0515
2024-01-11 00:00:00,0.0521
2024-01-11 01:00:00,0.0531
2024-01-11 02:00:00,0.0519
2024-01-11 03:00:00,0.0535
2024-01-11 04:00:00,0.0504
2024-01-11 05:00:00,0.0504
2024-01-11 06:00:00,0.0506
2024-01-11 07:00:00,0.048
2024-01-11 08:00:00,0.0484
2024-01-11 09:00:00,0.0476
2024-01-11 10:00:00,0.0468
2024-01-11 11:00:00,0.0446
2024-01-11 12:00:00,0.046
2024-01-11 13:00:00,0.0444
2024-01-11 14:00:00,0.0468
2024-01-11 15:00:00,0.0358
2024-01-11 16:00:00,0.0397
2024-01-11 17:00:00,0.0395
2024-01-11 18:00:00,0.0383
2024-01-11 19:00:00,0.0346
2024-01-11 20:00:00,0.033
2024-01-11 21:00:00,0.036
2024-01-11 22:00:00,0.0364
2024-01-11 23:00:00,0.035
2024-01-12 00:00:00,0.032
2024-01-12 01:00:00,0.0315
2024-01-12 02:00:00,0.0293
2024-01-12 03:00:00,0.033
2024-01-12 04:00:00,0.0277
2024-01-12 05:00:00,0.0279
2024-01-12 06:00:00,0.0269
2024-01-12 07:00:00,0.0279
2024-01-12 08:00:00,0.025
2024-01-12 09:00:00,0.0222
2024-01-12 10:00:00,0.0216
2024-01-12 11:00:00,0.0192
2024-01-12 12:00:00,0.0175
2024-01-12 13:00:00,0.0149
2024-01-12 14:00:00,0.012
2024-01-12 15:00:00,0.0116
2024-01-12 16:00:00,0.0127
2024-01-12 17:00:00,0.0021
2024-01-12 18:00:00,0.0035
2024-01-12 19:00:00,-0.0006
2024-01-12 20:00:00,-0.0024
2024-01-12 21:00:00,-0.0064
2024-01-12 22:00:00,-0.0097
2024-01-12 23:00:00,-0.0152
2024-01-13 00:00:00,-0.0168
2024-01-13 01:00:00,-0.0231
2024-01-13 02:00:00,-0.0264
2024-01-13 03:00:00,-0.0245
2024-01-13 04:00:00,-0.0266
2024-01-13 05:00:00,-0.0325
2024-01-13 06:00:00,-0.0369
2024-01-13 07:00:00,-0.0381
2024-01-13 08:00:00,-0.0416
2024-01-13 09:00:00,-0.0475
2024-01-13 10:00:00,-0.052
2024-01-13 11:00:00,-0.054
2024-01-13 12:00:00,-0.055
2024-01-13 13:00:00,-0.057
2024-01-13 14:00:00,-0.0572
2024-01-13 15:00:00,-0.0603
2024-01-13 16:00:00,-0.0603
2024-01-13 17:00:00,-0.0611
2024-01-13 18:00:00,-0.0648
2024-01-13 19:00:00,-0.0678
2024-01-13 20:00:00,-0.0696
2024-01-13 21:00:00,-0.0696
2024-01-13 22:00:00,-0.0747
2024-01-13 23:00:00,-0.0772
2024-01-14 00:00:00,-0.0808
2024-01-14 01:00:00,-0.0831
2024-01-14 02:00:00,-0.0843
2024-01-14 03:00:00,-0.0861
2024-01-14 04:00:00,-0.0855
2024-01-14 05:00:00,-0.0873
2024-01-14 06:00:00,-0.0896
2024-01-14 07:00:00,-0.093
2024-01-14 08:00:00,-0.0896
2024-01-14 09:00:00,-0.0918
2024-01-14 10:00:00,-0.0922
2024-01-14 11:00:00,-0.0906
2024-01-14 12:00:00,-0.091
2024-01-14 13:00:00,-0.0924
2024-01-14 14:00:00,-0.0896
2024-01-14 15:00:00,-0.0887
2024-01-14 16:00:00,-0.0869
2024-01-14 17:00:00,-0.0902
2024-01-14 18:00:00,-0.0881
2024-01-14 19:00:00,-0.0831
2024-01-14 20:00:00,-0.078
2024-01-14 21:00:00,-0.0788
2024-01-14 22:00:00,-0.0774
2024-01-14 23:00:00,-0.069
2024-01-15 00:00:00,-0.0676
2024-01-15 01:00:00,-0.0678
2024-01-15 02:00:00,-0.0682
2024-01-15 03:00:00,-0.066
2024-01-15 04:00:00,-0.0585
2024-01-15 05:00:00,-0.0556
2024-01-15 06:00:00,-0.0518
2024-01-15 07:00:00,-0.0532
2024-01-15 08:00:00,-0.0465
2024-01-15 09:00:00,-0.0418
2024-01-15 10:00:00,-0.0426
2024-01-15 11:00:00,-0.0367
2024-01-15 12:00:00,-0.0329
2024-01-15 13:00:00,-0.0318
2024-01-15 14:00:00,-0.0292
2024-01-15 15:00:00,-0.0243
2024-01-15 16:00:00,-0.0231
2024-01-15 17:00:00,-0.0207
2024-01-15 18:00:00,-0.0184
2024-01-15 19:00:00,-0.0172
2024-01-15 20:00:00,-0.0164
2024-01-15 21:00:00,-0.0162
2024-01-15 22:00:00,-0.0158
2024-01-15 23:00:00,-0.0136
2024-01-16 00:00:00,-0.0154
2024-01-16 01:00:00,-0.0134
2024-01-16 02:00:00,-0.0127
2024-01-16 03:00:00,-0.0117
2024-01-16 04:00:00,-0.0099
2024-01-16 05:00:00,-0.0085
2024-01-16 06:00:00,-0.0105
2024-01-16 07:00:00,-0.0095
2024-01-16 08:00:00,-0.004
2024-01-16 09:00:00,-0.0028
2024-01-16 10:00:00,-0.002
2024-01-16 11:00:00,0.0013
2024-01-16 12:00:00,0.0021
2024-01-16 13:00:00,0.0064
2024-01-16 14:00:00,0.0057
2024-01-16 15:00:00,0.0084
2024-01-16 16:00:00,0.0096
2024-01-16 17:00:00,0.0122
2024-01-16 18:00:00,0.0151
2024-01-16 19:00:00,0.0161
2024-01-16 20:00:00,0.0177
2024-01-16 21:00:00,0.0198
2024-01-16 22:00:00,0.0234
2024-01-16 23:00:00,0.0232
2024-01-17 00:00:00,0.0242
2024-01-17 01:00:00,0.0259
2024-01-17 02:00:00,0.0283
2024-01-17 03:00:00,0.0328
2024-01-17 04:00:00,0.0336
2024-01-17 05:00:00,0.0326
2024-01-17 06:00:00,0.0362
2024-01-17 07:00:00,0.033
2024-01-17 08:00:00,0.0366
2024-01-17 09:00:00,0.0376
2024-01-17 10:00:00,0.0399
2024-01-17 11:00:00,0.0378
2024-01-17 12:00:00,0.0415
2024-01-17 13:00:00,0.0423
2024-01-17 14:00:00,0.0407
2024-01-17 15:00:00,0.0425
2024-01-17 16:00:00,0.0409
2024-01-17 17:00:00,0.0417
2024-01-17 18:00:00,0.0413
2024-01-17 19:00:00,0.0395
2024-01-17 20:00:00,0.0421
2024-01-17 21:00:00,0.0409
2024-01-17 22:00:00,0.0409
2024-01-17 23:00:00,0.0429
2024-01-18 00:00:00,0.0419
2024-01-18 01:00:00,0.0405
2024-01-18 02:00:00,0.0397
2024-01-18 03:00:00,0.0397
2024-01-18 04:00:00,0.036
2024-01-18 05:00:00,0.0378
2024-01-18 06:00:00,0.0364
2024-01-18 07:00:00,0.0326
2024-01-18 08:00:00,0.0342
2024-01-18 09:00:00,0.0328
2024-01-18 10:00:00,0.033
2024-01-18 11:00:00,0.0309
2024-01-18 12:00:00,0.0289
2024-01-18 13:00:00,0.0265
2024-01-18 14:00:00,0.0271
2024-01-18 15:00:00,0.0273
2024-01-18 16:00:00,0.0248
2024-01-18 17:00:00,0.022
2024-01-18 18:00:00,0.0238
2024-01-18 19:00:00,0.0248
2024-01-18 20:00:00,0.0204
2024-01-18 21:00:00,0.0181
2024-01-18 22:00:00,0.0159
2024-01-18 23:00:00,0.0163
2024-01-19 00:00:00,0.0153
2024-01-19 01:00:00,0.0141
2024-01-19 02:00:00,0.0127
2024-01-19 03:00:00,0.0104
2024-01-19 04:00:00,0.0074
2024-01-19 05:00:00,0.008
2024-01-19 06:00:00,0.0055
2024-01-19 07:00:00,0.0033
2024-01-19 08:00:00,0.0037
2024-01-19 09:00:00,0.0021
2024-01-19 10:00:00,0.0001
2024-01-19 11:00:00,-0.0008
2024-01-19 12:00:00,-0.0012
2024-01-19 13:00:00,-0.0054
2024-01-19 14:00:00,-0.0048
2024-01-19 15:00:00,-0.0069
2024-01-19 16:00:00,-0.0042
2024-01-19 17:00:00,-0.0048
2024-01-19 18:00:00,-0.006
2024-01-19 19:00:00,-0.0024
2024-01-19 20:00:00,-0.0016
2024-01-19 21:00:00,0.0001
2024-01-19 22:00:00,-0.002
2024-01-19 23:00:00,-0.0016
2024-01-20 00:00:00,0.0001
2024-01-20 01:00:00,0.0025
2024-01-20 02:00:00,0.0015
2024-01-20 03:00:00,0.0025
2024-01-20 04:00:00,0.0031
2024-01-20 05:00:00,0.0051
2024-01-20 06:00:00,0.0059
2024-01-20 07:00:00,0.0084
2024-01-20 08:00:00,0.0061
2024-01-20 09:00:00,0.0108
2024-01-20 10:00:00,0.008
2024-01-20 11:00:00,0.0094
2024-01-20 12:00:00,0.0102
2024-01-20 13:00:00,0.0137
2024-01-20 14:00:00,0.0153
2024-01-20 15:00:00,0.0131
2024-01-20 16:00:00,0.0129
2024-01-20 17:00:00,0.0141
2024-01-20 18:00:00,0.0175
2024-01-20 19:00:00,0.0198
2024-01-20 20:00:00,0.02
2024-01-20 21:00:00,0.0218
2024-01-20 22:00:00,0.0208
2024-01-20 23:00:00,0.0208
2024-01-21 00:00:00,0.0212
2024-01-21 01:00:00,0.0204
2024-01-21 02:00:00,0.0151
2024-01-21 03:00:00,0.0167
2024-01-21 04:00:00,0.0185
2024-01-21 05:00:00,0.0177
2024-01-21 06:00:00,0.0157
2024-01-21 07:00:00,0.0118
2024-01-21 08:00:00,0.0139
2024-01-21 09:00:00,0.0129
2024-01-21 10:00:00,0.0104
2024-01-21 11:00:00,0.0078
2024-01-21 12:00:00,0.0066
2024-01-21 13:00:00,0.0059
2024-01-21 14:00:00,0.0074
2024-01-21 15:00:00,0.0035
2024-01-21 16:00:00,0.0049
2024-01-21 17:00:00,0.0043
2024-01-21 18:00:00,0.0035
2024-01-21 19:00:00,0.0015
2024-01-21 20:00:00,0.0017
2024-01-21 21:00:00,0.0021
2024-01-21 22:00:00,0.0021
2024-01-21 23:00:00,-0.0012
2024-01-22 00:00:00,-0.002
2024-01-22 01:00:00,-0.002
2024-01-22 02:00:00,0.0007
2024-01-22 03:00:00,-0.004
2024-01-22 04:00:00,-0.0014
2024-01-22 05:00:00,-0.0026
2024-01-22 06:00:00,-0.0016
2024-01-22 07:00:00,-0.0008
2024-01-22 08:00:00,-0.0034
2024-01-22 09:00:00,-0.0008
2024-01-22 10:00:00,-0.002
2024-01-22 11:00:00,-0.001
2024-01-22 12:00:00,-0.0008
2024-01-22 13:00:00,-0.0016
2024-01-22 14:00:00,-0.0038
2024-01-22 15:00:00,0.0015
2024-01-22 16:00:00,-0.002
2024-01-22 17:00:00,-0.0004
2024-01-22 18:00:00,0.0029
2024-01-22 19:00:00,-0.0018
2024-01-22 20:00:00,0.0017
2024-01-22 21:00:00,0.0025
2024-01-22 22:00:00,-0.0002
2024-01-22 23:00:00,0.0023
2024-01-23 00:00:00,0.0037
2024-01-23 01:00:00,0.0015
2024-01-23 02:00:00,0.0005
2024-01-23 03:00:00,0.0043
2024-01-23 04:00:00,0.0017
2024-01-23 05:00:00,0.0019
2024-01-23 06:00:00,-0.0002
2024-01-23 07:00:00,-0.0006
2024-01-23 08:00:00,-0.0022
2024-01-23 09:00:00,-0.0042
2024-01-23 10:00:00,-0.0073
