Datetime,Demand $[m^3]$
01/01/2020 00:00,11439.4
01/01/2020 01:00,10413.83
01/01/2020 02:00,9271.638
01/01/2020 03:00,8578.525
01/01/2020 04:00,8380.612
01/01/2020 05:00,8658.938
01/01/2020 06:00,9494
01/01/2020 07:00,10316
01/01/2020 08:00,11192.24
01/01/2020 09:00,11719.64
01/01/2020 10:00,12195.41
01/01/2020 11:00,12324.42
01/01/2020 12:00,12439.2
01/01/2020 13:00,12572.59
01/01/2020 14:00,12541.65
01/01/2020 15:00,12651.45
01/01/2020 16:00,12833.66
01/01/2020 17:00,13072.24
01/01/2020 18:00,13091.09
01/01/2020 19:00,13368.91
01/01/2020 20:00,13276.03
01/01/2020 21:00,13136.78
01/01/2020 22:00,12812.94
01/01/2020 23:00,12812.94
02/01/2020 00:00,10961.5
02/01/2020 01:00,10049.9
02/01/2020 02:00,9034.662
02/01/2020 03:00,8453.325
02/01/2020 04:00,8508.45
02/01/2020 05:00,8882.425
02/01/2020 06:00,9874.862
02/01/2020 07:00,10737.2
02/01/2020 08:00,11683.64
02/01/2020 09:00,12207.26
02/01/2020 10:00,12786.42
02/01/2020 11:00,12906.89
02/01/2020 12:00,12965.97
02/01/2020 13:00,12836.28
02/01/2020 14:00,12530.03
02/01/2020 15:00,12389.01
02/01/2020 16:00,12291.78
02/01/2020 17:00,12572.29
02/01/2020 18:00,12866.39
02/01/2020 19:00,13456.13
02/01/2020 20:00,13551.9
02/01/2020 21:00,13697.03
02/01/2020 22:00,13294.47
02/01/2020 23:00,12676.08
03/01/2020 00:00,11690.71
03/01/2020 01:00,10757.05
03/01/2020 02:00,9736.175
03/01/2020 03:00,9037.275
03/01/2020 04:00,8984.375
03/01/2020 05:00,9307.7
03/01/2020 06:00,10255.4
03/01/2020 07:00,11307.39
03/01/2020 08:00,12579.01
03/01/2020 09:00,13462.72
03/01/2020 10:00,14535.3
03/01/2020 11:00,15255.91
03/01/2020 12:00,16309.65
03/01/2020 13:00,17016.91
03/01/2020 14:00,17395.97
03/01/2020 15:00,17233.1
03/01/2020 16:00,16404.09
03/01/2020 17:00,15135.79
03/01/2020 18:00,13814.42
03/01/2020 19:00,12717.51
03/01/2020 20:00,11636.96
03/01/2020 21:00,10927.06
03/01/2020 22:00,10037.29
03/01/2020 23:00,9241.475
04/01/2020 00:00,8286.075
04/01/2020 01:00,7651.2
04/01/2020 02:00,7168.675
04/01/2020 03:00,6908.263
04/01/2020 04:00,6977.013
04/01/2020 05:00,7304.575
04/01/2020 06:00,7738.625
04/01/2020 07:00,8418.3
04/01/2020 08:00,9100.775
04/01/2020 09:00,9673.987
04/01/2020 10:00,10230.6
04/01/2020 11:00,10546.8
04/01/2020 12:00,10823.22
04/01/2020 13:00,10842.26
04/01/2020 14:00,10824.13
04/01/2020 15:00,10920.51
04/01/2020 16:00,11350.89
04/01/2020 17:00,11737.44
04/01/2020 18:00,12673.26
04/01/2020 19:00,13251.59
04/01/2020 20:00,13650.99
04/01/2020 21:00,13593.34
04/01/2020 22:00,13271.49
04/01/2020 23:00,12384.61
05/01/2020 00:00,11558.21
05/01/2020 01:00,10514.34
